internship_id,title,company,sector,required_skills,location,duration_months,stipend,education_requirement,description,slots_available,application_deadline
517,Learning Design Intern,HDFC Bank,Education,"Teaching, Communication",Any Location,12,5000,Diploma,Contribute to innovative education solutions and processes.,9,2025-11-15
518,Administrative Intern,Jubilant Foodworks,Government,"Research, English, MS Office, Leadership",Bangalore,6,5000,Any,Contribute to innovative government solutions and processes.,4,2025-11-01
519,Communication Intern,Reliance Industries,Government,"Communication, MS Office, English",Pune,12,5000,Any,Assist with research and development in government field.,8,2025-11-08
520,Content Marketing Intern,Asian Paints,Marketing,"MS Office, Social Media, Design",Chennai,12,5000,Diploma,Assist with research and development in marketing field.,6,2025-12-03
521,Audit Intern,Mahindra Group,Finance,"Mathematics, Data Analysis",Kolkata,12,4000,Diploma,Learn industry best practices in finance domain.,1,2025-10-25
522,Healthcare Administration Intern,Bharti Airtel,Healthcare,"Communication, MS Office",Jaipur,12,5000,Undergraduate,Support healthcare operations and contribute to team objectives.,7,2025-11-15
523,Cybersecurity Intern,Godrej Consumer,IT,"Excel, Data Analysis, Problem Solving, Java",Ahmedabad,12,4000,Any,Assist with research and development in it field.,1,2025-11-01
524,Public Service Intern,Sun Pharma,Government,"English, Research, Leadership",Ahmedabad,12,5000,Diploma,Learn industry best practices in government domain.,3,2025-11-19
525,Pharmacy Intern,State Bank of India,Healthcare,"Communication, Biology",Rural,12,5000,Undergraduate,Support healthcare operations and contribute to team objectives.,8,2025-10-15
526,Medical Research Intern,Bharti Airtel,Healthcare,"Biology, Research, MS Office",Chennai,12,5000,Undergraduate,Learn industry best practices in healthcare domain.,9,2025-10-28
527,Brand Management Intern,Nestle India,Marketing,"MS Office, Communication, Marketing, Design",Delhi,12,4000,Undergraduate,Learn industry best practices in marketing domain.,3,2025-11-30
528,Process Engineering Intern,UltraTech Cement,Manufacturing,"Problem Solving, Team Work, Excel",Any Location,6,5000,Any,Support manufacturing operations and contribute to team objectives.,1,2025-10-23
529,Audit Intern,Mahindra Group,Finance,"Communication, Data Analysis",Chandigarh,6,5000,Any,Learn industry best practices in finance domain.,1,2025-11-28
530,Pharmacy Intern,Mahindra Group,Healthcare,"MS Office, Problem Solving",Chennai,6,4000,Any,Assist with research and development in healthcare field.,7,2025-12-02
531,Web Development Intern,State Bank of India,IT,"Excel, Java",Hyderabad,12,5000,High School,Assist with research and development in it field.,5,2025-11-29
532,Supply Chain Intern,Larsen & Toubro,Manufacturing,"Excel, Team Work",Bhopal,12,6000,Any,Contribute to innovative manufacturing solutions and processes.,1,2025-10-28
533,Industrial Design Intern,Hero MotoCorp,Manufacturing,"Problem Solving, Excel",Bangalore,12,5000,Undergraduate,Contribute to innovative manufacturing solutions and processes.,6,2025-11-18
534,Farm Management Intern,Muthoot Finance,Agriculture,"Research, Agriculture",Jaipur,6,5000,Any,Support agriculture operations and contribute to team objectives.,6,2025-11-08
535,Pharmacy Intern,Infosys,Healthcare,"MS Office, Communication, Biology, Problem Solving",Mumbai,12,4000,Diploma,Work on real-world healthcare projects and gain hands-on experience.,4,2025-11-30
536,Policy Research Intern,Hindustan Unilever,Government,"Communication, Research",Kolkata,12,5000,Undergraduate,Support government operations and contribute to team objectives.,7,2025-10-23
537,Content Marketing Intern,Reliance Industries,Marketing,"Design, Social Media",Pune,12,5000,High School,Support marketing operations and contribute to team objectives.,7,2025-10-29
538,Farm Management Intern,Wipro,Agriculture,"Agriculture, Research",Jaipur,12,5000,Any,Assist with research and development in agriculture field.,9,2025-11-25
539,Public Health Intern,Tata Consultancy Services,Healthcare,"Research, Problem Solving",Hyderabad,12,5000,Any,Assist with research and development in healthcare field.,1,2025-10-19
540,Content Marketing Intern,State Bank of India,Marketing,"MS Office, Design",Hyderabad,6,5000,Diploma,Work on real-world marketing projects and gain hands-on experience.,5,2025-10-18
541,Policy Research Intern,Nestle India,Government,"Leadership, Communication, MS Office",Pune,6,5000,Any,Assist with research and development in government field.,10,2025-11-07
542,Mobile App Development Intern,TVS Motor,IT,"Data Analysis, Problem Solving",Pune,6,4000,Undergraduate,Assist with research and development in it field.,3,2025-11-17
543,Student Support Intern,Maruti Suzuki,Education,"English, Leadership",Ahmedabad,12,5000,Any,Support education operations and contribute to team objectives.,7,2025-11-22
544,Public Health Intern,Asian Paints,Healthcare,"Biology, Research, Problem Solving, MS Office",Bhopal,12,5000,Undergraduate,Work on real-world healthcare projects and gain hands-on experience.,4,2025-11-22
545,Audit Intern,Eicher Motors,Finance,"Communication, Excel, Finance",Mumbai,12,5000,High School,Contribute to innovative finance solutions and processes.,4,2025-11-27
546,Process Engineering Intern,Asian Paints,Manufacturing,"Team Work, Excel, Problem Solving",Jaipur,12,5000,High School,Assist with research and development in manufacturing field.,1,2025-10-10
547,Public Health Intern,Jubilant Foodworks,Healthcare,"Communication, MS Office, Biology",Kolkata,12,5000,High School,Work on real-world healthcare projects and gain hands-on experience.,1,2025-10-25
548,Healthcare Administration Intern,Maruti Suzuki,Healthcare,"MS Office, Problem Solving, Research",Mumbai,6,5000,High School,Contribute to innovative healthcare solutions and processes.,10,2025-11-20
549,Insurance Intern,Larsen & Toubro,Finance,"Finance, Data Analysis, Communication",Any Location,6,5000,Diploma,Support finance operations and contribute to team objectives.,2,2025-12-01
550,AI/ML Intern,Eicher Motors,IT,"Java, Data Analysis",Mumbai,12,5000,Any,Support it operations and contribute to team objectives.,2,2025-10-13
551,Mobile App Development Intern,Dr. Reddy's Labs,IT,"Java, Problem Solving, Data Analysis",Bangalore,12,5000,Diploma,Work on real-world it projects and gain hands-on experience.,1,2025-12-05
552,Audit Intern,Tech Mahindra,Finance,"Excel, Communication, Finance, Mathematics",Ahmedabad,12,4000,High School,Contribute to innovative finance solutions and processes.,8,2025-10-09
553,Cybersecurity Intern,Reliance Industries,IT,"Java, Data Analysis",Chennai,12,5000,Diploma,Work on real-world it projects and gain hands-on experience.,6,2025-10-10
554,Agri-tech Intern,TVS Motor,Agriculture,"Local Language, Agriculture",Bhopal,6,5000,High School,Support agriculture operations and contribute to team objectives.,6,2025-12-04
555,Healthcare Administration Intern,TVS Motor,Healthcare,"Research, Biology, Problem Solving, MS Office",Any Location,12,5000,Undergraduate,Learn industry best practices in healthcare domain.,10,2025-11-13
556,Accounting Intern,Jubilant Foodworks,Finance,"Communication, Data Analysis",Kolkata,12,5000,High School,Support finance operations and contribute to team objectives.,10,2025-10-22
557,Pharmacy Intern,Reliance Industries,Healthcare,"Research, Biology, Problem Solving",Bhopal,6,6000,Undergraduate,Work on real-world healthcare projects and gain hands-on experience.,9,2025-11-02
558,Audit Intern,Bharti Airtel,Finance,"Excel, Mathematics",Bhopal,12,5000,Undergraduate,Work on real-world finance projects and gain hands-on experience.,5,2025-10-13
559,Audit Intern,ICICI Bank,Finance,"Communication, Data Analysis, Excel",Chandigarh,12,5000,Diploma,Learn industry best practices in finance domain.,4,2025-10-15
560,Process Engineering Intern,Eicher Motors,Manufacturing,"Team Work, Excel, Problem Solving, Project Management",Any Location,6,5000,Any,Work on real-world manufacturing projects and gain hands-on experience.,6,2025-10-30
561,AI/ML Intern,State Bank of India,IT,"Problem Solving, Communication, Java, Data Analysis",Lucknow,6,5000,High School,Support it operations and contribute to team objectives.,8,2025-10-10
562,Pharmacy Intern,Godrej Consumer,Healthcare,"MS Office, Research",Lucknow,12,4000,High School,Work on real-world healthcare projects and gain hands-on experience.,1,2025-10-17
563,Process Engineering Intern,Reliance Industries,Manufacturing,"Team Work, Problem Solving, Excel",Chennai,12,4000,High School,Support manufacturing operations and contribute to team objectives.,7,2025-12-07
564,Public Service Intern,Asian Paints,Government,"MS Office, Leadership",Bhopal,12,5000,High School,Contribute to innovative government solutions and processes.,8,2025-11-28
565,Rural Development Intern,Larsen & Toubro,Agriculture,"Field Work, Local Language",Pune,12,6000,Undergraduate,Support agriculture operations and contribute to team objectives.,9,2025-10-22
566,Mobile App Development Intern,Godrej Consumer,IT,"Communication, Java",Lucknow,12,5000,Any,Contribute to innovative it solutions and processes.,8,2025-10-29
567,Student Support Intern,Hindustan Unilever,Education,"Teaching, MS Office, English, Leadership",Chennai,6,5000,High School,Support education operations and contribute to team objectives.,7,2025-12-08
568,Investment Banking Intern,Muthoot Finance,Finance,"Finance, Communication",Chennai,12,6000,High School,Assist with research and development in finance field.,3,2025-11-24
569,Public Service Intern,Muthoot Finance,Government,"Communication, Leadership",Kolkata,12,4000,Diploma,Contribute to innovative government solutions and processes.,2,2025-10-24
570,Social Media Intern,Eicher Motors,Marketing,"Design, Communication, MS Office, Marketing",Mumbai,12,5000,Undergraduate,Assist with research and development in marketing field.,3,2025-11-02
571,Student Support Intern,Larsen & Toubro,Education,"Leadership, MS Office, Teaching",Any Location,12,5000,Any,Work on real-world education projects and gain hands-on experience.,4,2025-11-26
572,Farm Management Intern,Dr. Reddy's Labs,Agriculture,"Local Language, Research",Jaipur,12,4000,Diploma,Contribute to innovative agriculture solutions and processes.,4,2025-11-24
573,Learning Design Intern,Wipro,Education,"Leadership, Communication, English",Hyderabad,6,6000,Any,Contribute to innovative education solutions and processes.,6,2025-11-16
574,Policy Research Intern,Mahindra Group,Government,"Communication, English, Research",Bangalore,12,4000,Diploma,Work on real-world government projects and gain hands-on experience.,7,2025-10-09
575,Process Engineering Intern,Sun Pharma,Manufacturing,"Excel, Team Work, Project Management",Kolkata,12,5000,Any,Learn industry best practices in manufacturing domain.,4,2025-11-19
576,Public Health Intern,Larsen & Toubro,Healthcare,"Biology, MS Office",Lucknow,6,5000,Diploma,Support healthcare operations and contribute to team objectives.,10,2025-11-26
577,Rural Development Intern,Maruti Suzuki,Agriculture,"Local Language, Research, Field Work, Agriculture",Chandigarh,12,4000,High School,Assist with research and development in agriculture field.,6,2025-12-07
578,Agricultural Research Intern,Sun Pharma,Agriculture,"Research, Agriculture",Any Location,6,4000,Undergraduate,Work on real-world agriculture projects and gain hands-on experience.,9,2025-11-22
579,Learning Design Intern,Hindustan Unilever,Education,"Leadership, English, MS Office, Teaching",Lucknow,12,4000,Diploma,Work on real-world education projects and gain hands-on experience.,6,2025-10-16
580,Public Health Intern,Jubilant Foodworks,Healthcare,"Problem Solving, Biology, Communication",Chennai,12,4000,Any,Support healthcare operations and contribute to team objectives.,3,2025-12-01
581,Rural Development Intern,Tech Mahindra,Agriculture,"Local Language, Research, Field Work, Agriculture",Chandigarh,6,5000,Any,Work on real-world agriculture projects and gain hands-on experience.,1,2025-10-15
582,Quality Control Intern,Godrej Consumer,Manufacturing,"Team Work, Project Management, Excel",Chandigarh,12,5000,Undergraduate,Work on real-world manufacturing projects and gain hands-on experience.,10,2025-10-19
583,Policy Research Intern,Wipro,Government,"Research, English",Jaipur,12,5000,Any,Learn industry best practices in government domain.,10,2025-11-24
584,Agricultural Research Intern,Nestle India,Agriculture,"Local Language, Agriculture",Chandigarh,12,5000,Diploma,Support agriculture operations and contribute to team objectives.,5,2025-11-09
585,Academic Research Intern,HDFC Bank,Education,"Leadership, English",Bangalore,6,6000,Diploma,Work on real-world education projects and gain hands-on experience.,10,2025-11-25
586,Educational Content Intern,Reliance Industries,Education,"Leadership, MS Office, Communication",Lucknow,6,6000,High School,Support education operations and contribute to team objectives.,10,2025-10-14
587,Digital Marketing Intern,Tech Mahindra,Marketing,"Social Media, Marketing, MS Office",Pune,12,5000,High School,Contribute to innovative marketing solutions and processes.,3,2025-10-24
588,Legal Affairs Intern,Jubilant Foodworks,Government,"Research, Leadership, English, Communication",Rural,6,5000,High School,Contribute to innovative government solutions and processes.,8,2025-11-28
589,Software Development Intern,Mahindra Group,IT,"Excel, Python",Kolkata,12,5000,Undergraduate,Assist with research and development in it field.,10,2025-11-08
590,Industrial Design Intern,UltraTech Cement,Manufacturing,"Project Management, Team Work, Excel",Pune,12,5000,Diploma,Learn industry best practices in manufacturing domain.,1,2025-11-20
591,Farm Management Intern,Eicher Motors,Agriculture,"Agriculture, Field Work, Local Language, Research",Delhi,12,5000,Any,Assist with research and development in agriculture field.,2,2025-11-24
592,Teaching Assistant,Godrej Consumer,Education,"Teaching, Communication, Leadership, MS Office",Pune,12,5000,Any,Contribute to innovative education solutions and processes.,3,2025-11-21
593,Communication Intern,Godrej Consumer,Government,"Communication, Research, MS Office",Any Location,12,5000,Undergraduate,Work on real-world government projects and gain hands-on experience.,3,2025-11-18
594,Production Intern,Hindustan Unilever,Manufacturing,"Project Management, Excel, Team Work, Problem Solving",Lucknow,12,5000,Any,Assist with research and development in manufacturing field.,8,2025-11-25
595,Pharmacy Intern,Hindustan Unilever,Healthcare,"MS Office, Biology, Communication",Kolkata,12,6000,Undergraduate,Contribute to innovative healthcare solutions and processes.,5,2025-10-21
596,Academic Research Intern,Jubilant Foodworks,Education,"MS Office, Teaching, Leadership, English",Rural,12,5000,High School,Learn industry best practices in education domain.,8,2025-12-01
597,Administrative Intern,HDFC Bank,Government,"Research, English, MS Office",Jaipur,12,5000,Diploma,Support government operations and contribute to team objectives.,6,2025-10-22
598,Teaching Assistant,Bharti Airtel,Education,"Leadership, Teaching",Bangalore,6,5000,Undergraduate,Assist with research and development in education field.,2,2025-11-27
599,Brand Management Intern,Infosys,Marketing,"Marketing, Design, MS Office, Social Media",Bhopal,6,5000,Diploma,Contribute to innovative marketing solutions and processes.,4,2025-11-18
600,Policy Research Intern,Bajaj Finance,Government,"MS Office, Communication, Leadership, Research",Bhopal,12,4000,Undergraduate,Assist with research and development in government field.,9,2025-12-06
601,Agricultural Marketing Intern,Larsen & Toubro,Agriculture,"Field Work, Agriculture, Research",Mumbai,12,5000,Undergraduate,Work on real-world agriculture projects and gain hands-on experience.,4,2025-10-16
602,Pharmacy Intern,Eicher Motors,Healthcare,"Problem Solving, Research, Communication, Biology",Lucknow,12,5000,Undergraduate,Support healthcare operations and contribute to team objectives.,5,2025-12-02
603,Process Engineering Intern,Bajaj Finance,Manufacturing,"Problem Solving, Team Work, Excel, Project Management",Any Location,12,4000,Any,Assist with research and development in manufacturing field.,5,2025-10-29
604,Quality Control Intern,Larsen & Toubro,Manufacturing,"Team Work, Problem Solving, Excel, Project Management",Jaipur,6,5000,Any,Learn industry best practices in manufacturing domain.,10,2025-10-18
605,Brand Management Intern,Larsen & Toubro,Marketing,"Design, Communication, Marketing",Hyderabad,12,5000,Diploma,Work on real-world marketing projects and gain hands-on experience.,8,2025-11-16
606,Supply Chain Intern,Eicher Motors,Manufacturing,"Problem Solving, Team Work, Project Management, Excel",Ahmedabad,12,5000,Undergraduate,Assist with research and development in manufacturing field.,6,2025-10-12
607,Quality Control Intern,Muthoot Finance,Manufacturing,"Team Work, Project Management, Problem Solving, Excel",Any Location,12,4000,Diploma,Assist with research and development in manufacturing field.,10,2025-11-24
608,Rural Development Intern,Eicher Motors,Agriculture,"Field Work, Agriculture, Research, Local Language",Kolkata,12,4000,Any,Learn industry best practices in agriculture domain.,7,2025-11-26
609,Farm Management Intern,Hindustan Unilever,Agriculture,"Local Language, Field Work",Chandigarh,6,5000,Diploma,Contribute to innovative agriculture solutions and processes.,6,2025-11-03
610,Healthcare Administration Intern,Maruti Suzuki,Healthcare,"Problem Solving, Biology, Communication",Hyderabad,12,5000,Any,Support healthcare operations and contribute to team objectives.,5,2025-11-14
611,Student Support Intern,ICICI Bank,Education,"Leadership, Communication, Teaching, MS Office",Chennai,12,6000,Diploma,Work on real-world education projects and gain hands-on experience.,5,2025-11-01
612,Healthcare Administration Intern,Tech Mahindra,Healthcare,"MS Office, Research, Biology",Mumbai,6,6000,Undergraduate,Assist with research and development in healthcare field.,3,2025-10-20
613,Software Development Intern,TVS Motor,IT,"Communication, Data Analysis, Problem Solving, Python",Bhopal,12,5000,Any,Support it operations and contribute to team objectives.,7,2025-10-11
614,Healthcare Administration Intern,Asian Paints,Healthcare,"MS Office, Communication, Problem Solving",Lucknow,12,5000,Diploma,Assist with research and development in healthcare field.,10,2025-11-27
615,Public Health Intern,Tata Consultancy Services,Healthcare,"MS Office, Communication, Problem Solving, Research",Pune,12,5000,High School,Work on real-world healthcare projects and gain hands-on experience.,5,2025-10-16
616,Medical Research Intern,Godrej Consumer,Healthcare,"Problem Solving, Research, Biology",Lucknow,12,6000,Any,Learn industry best practices in healthcare domain.,7,2025-11-22
617,Clinical Data Intern,Wipro,Healthcare,"MS Office, Problem Solving",Bhopal,6,5000,Any,Learn industry best practices in healthcare domain.,2,2025-11-14
618,Teaching Assistant,Jubilant Foodworks,Education,"Teaching, English, Leadership",Any Location,12,5000,High School,Assist with research and development in education field.,9,2025-11-13
619,Policy Research Intern,Bajaj Finance,Government,"Leadership, Research, English, MS Office",Bangalore,6,5000,Diploma,Work on real-world government projects and gain hands-on experience.,8,2025-11-13
620,Public Service Intern,Jubilant Foodworks,Government,"Research, Communication",Lucknow,12,5000,Diploma,Support government operations and contribute to team objectives.,5,2025-10-14
621,Digital Marketing Intern,ICICI Bank,Marketing,"Social Media, Marketing",Pune,6,5000,Diploma,Assist with research and development in marketing field.,2,2025-12-08
622,Data Science Intern,Hero MotoCorp,IT,"Python, Excel, Data Analysis",Bhopal,12,5000,Any,Support it operations and contribute to team objectives.,6,2025-11-14
623,Public Service Intern,Reliance Industries,Government,"MS Office, Communication, Leadership, Research",Bhopal,12,5000,High School,Support government operations and contribute to team objectives.,8,2025-10-11
624,Investment Banking Intern,Eicher Motors,Finance,"Finance, Communication, Mathematics",Jaipur,12,4000,Diploma,Contribute to innovative finance solutions and processes.,7,2025-10-31
625,Brand Management Intern,Bharti Airtel,Marketing,"MS Office, Design, Social Media, Communication",Hyderabad,6,5000,Any,Support marketing operations and contribute to team objectives.,8,2025-11-03
626,Policy Research Intern,Hindustan Unilever,Government,"English, Communication, MS Office",Chennai,12,4000,High School,Learn industry best practices in government domain.,4,2025-11-18
627,Insurance Intern,Larsen & Toubro,Finance,"Communication, Finance, Data Analysis",Any Location,12,5000,Diploma,Learn industry best practices in finance domain.,3,2025-11-28
628,Farm Management Intern,Dr. Reddy's Labs,Agriculture,"Field Work, Agriculture",Hyderabad,6,6000,High School,Contribute to innovative agriculture solutions and processes.,7,2025-10-16
629,Agri-tech Intern,Wipro,Agriculture,"Agriculture, Field Work, Local Language",Rural,12,4000,Undergraduate,Support agriculture operations and contribute to team objectives.,2,2025-12-03
630,Risk Management Intern,Wipro,Finance,"Excel, Data Analysis",Chennai,12,5000,Any,Work on real-world finance projects and gain hands-on experience.,5,2025-11-28
631,Healthcare Administration Intern,Hero MotoCorp,Healthcare,"Communication, MS Office, Biology, Research",Chandigarh,12,5000,Undergraduate,Contribute to innovative healthcare solutions and processes.,7,2025-10-26
632,Medical Research Intern,Tata Consultancy Services,Healthcare,"Communication, MS Office",Bangalore,12,5000,Undergraduate,Contribute to innovative healthcare solutions and processes.,1,2025-11-13
633,Farm Management Intern,Nestle India,Agriculture,"Field Work, Research, Agriculture, Local Language",Bhopal,6,5000,Diploma,Support agriculture operations and contribute to team objectives.,4,2025-11-02
634,Digital Marketing Intern,Muthoot Finance,Marketing,"Marketing, Communication, MS Office, Design",Chandigarh,12,5000,Any,Support marketing operations and contribute to team objectives.,2,2025-11-06
635,Process Engineering Intern,Nestle India,Manufacturing,"Project Management, Team Work, Excel, Problem Solving",Hyderabad,12,4000,High School,Learn industry best practices in manufacturing domain.,6,2025-11-04
636,Production Intern,Maruti Suzuki,Manufacturing,"Problem Solving, Excel, Project Management, Team Work",Bangalore,6,5000,High School,Work on real-world manufacturing projects and gain hands-on experience.,1,2025-11-25
637,Content Marketing Intern,Bajaj Finance,Marketing,"Social Media, Design, Marketing",Jaipur,12,5000,Diploma,Assist with research and development in marketing field.,7,2025-11-09
638,Public Health Intern,Hero MotoCorp,Healthcare,"Problem Solving, Research",Any Location,12,5000,High School,Assist with research and development in healthcare field.,3,2025-11-22
639,Quality Control Intern,Muthoot Finance,Manufacturing,"Problem Solving, Project Management, Team Work, Excel",Bhopal,12,6000,Diploma,Support manufacturing operations and contribute to team objectives.,1,2025-10-13
640,Quality Control Intern,Asian Paints,Manufacturing,"Project Management, Problem Solving, Team Work, Excel",Kolkata,12,5000,Diploma,Learn industry best practices in manufacturing domain.,8,2025-10-16
641,Quality Control Intern,Jubilant Foodworks,Manufacturing,"Problem Solving, Team Work, Project Management, Excel",Hyderabad,6,4000,Undergraduate,Support manufacturing operations and contribute to team objectives.,7,2025-10-09
642,Agricultural Research Intern,UltraTech Cement,Agriculture,"Agriculture, Field Work, Local Language",Delhi,6,5000,Undergraduate,Work on real-world agriculture projects and gain hands-on experience.,2,2025-11-17
643,Public Service Intern,Eicher Motors,Government,"MS Office, Research, English",Pune,12,5000,Diploma,Assist with research and development in government field.,7,2025-10-31
644,Software Development Intern,Bharti Airtel,IT,"Problem Solving, Java, Python",Jaipur,6,5000,Diploma,Assist with research and development in it field.,3,2025-10-16
645,Policy Research Intern,Jubilant Foodworks,Government,"MS Office, Communication",Ahmedabad,12,5000,Any,Learn industry best practices in government domain.,9,2025-10-28
646,Process Engineering Intern,Mahindra Group,Manufacturing,"Project Management, Problem Solving",Ahmedabad,6,5000,Any,Support manufacturing operations and contribute to team objectives.,8,2025-10-17
647,Process Engineering Intern,Tech Mahindra,Manufacturing,"Project Management, Excel",Chennai,12,5000,High School,Support manufacturing operations and contribute to team objectives.,5,2025-10-27
648,Data Science Intern,Hindustan Unilever,IT,"Problem Solving, Data Analysis, Python",Bangalore,12,6000,Diploma,Assist with research and development in it field.,7,2025-11-20
649,Digital Marketing Intern,State Bank of India,Marketing,"Design, MS Office, Marketing",Chandigarh,12,5000,Diploma,Learn industry best practices in marketing domain.,3,2025-11-26
650,Agricultural Marketing Intern,Jubilant Foodworks,Agriculture,"Research, Agriculture, Local Language, Field Work",Rural,6,5000,High School,Support agriculture operations and contribute to team objectives.,1,2025-10-18
651,Industrial Design Intern,UltraTech Cement,Manufacturing,"Team Work, Problem Solving",Bhopal,6,5000,Undergraduate,Assist with research and development in manufacturing field.,1,2025-11-16
652,Cybersecurity Intern,State Bank of India,IT,"Data Analysis, Communication, Problem Solving",Mumbai,6,6000,Any,Support it operations and contribute to team objectives.,2,2025-11-17
653,Academic Research Intern,Hindustan Unilever,Education,"English, Communication",Rural,6,6000,High School,Learn industry best practices in education domain.,8,2025-11-22
654,Insurance Intern,HDFC Bank,Finance,"Finance, Data Analysis, Mathematics",Rural,12,4000,High School,Contribute to innovative finance solutions and processes.,1,2025-11-17
655,Educational Content Intern,Bharti Airtel,Education,"English, MS Office, Teaching, Communication",Kolkata,12,4000,High School,Learn industry best practices in education domain.,5,2025-10-21
656,Student Support Intern,ICICI Bank,Education,"MS Office, English",Mumbai,12,5000,High School,Assist with research and development in education field.,9,2025-11-04
657,Brand Management Intern,Hero MotoCorp,Marketing,"Marketing, Design",Ahmedabad,12,4000,High School,Contribute to innovative marketing solutions and processes.,9,2025-11-05
658,Web Development Intern,Larsen & Toubro,IT,"Data Analysis, Communication",Hyderabad,12,5000,Undergraduate,Assist with research and development in it field.,2,2025-10-24
659,Production Intern,Hero MotoCorp,Manufacturing,"Problem Solving, Excel",Delhi,12,4000,Undergraduate,Support manufacturing operations and contribute to team objectives.,7,2025-10-27
660,Public Service Intern,UltraTech Cement,Government,"Research, English, Leadership, Communication",Ahmedabad,12,5000,Undergraduate,Learn industry best practices in government domain.,1,2025-10-28
661,Medical Research Intern,TVS Motor,Healthcare,"Biology, Research, MS Office, Communication",Chandigarh,12,6000,Undergraduate,Contribute to innovative healthcare solutions and processes.,3,2025-11-11
662,Quality Control Intern,State Bank of India,Manufacturing,"Project Management, Problem Solving, Team Work, Excel",Mumbai,12,6000,Diploma,Contribute to innovative manufacturing solutions and processes.,6,2025-10-16
663,AI/ML Intern,Jubilant Foodworks,IT,"Java, Communication, Problem Solving, Python",Mumbai,12,5000,Undergraduate,Learn industry best practices in it domain.,9,2025-11-24
664,Administrative Intern,Bajaj Finance,Government,"Communication, Research, English, MS Office",Kolkata,6,5000,Undergraduate,Contribute to innovative government solutions and processes.,10,2025-10-31
665,Process Engineering Intern,Eicher Motors,Manufacturing,"Problem Solving, Team Work, Excel, Project Management",Kolkata,6,5000,High School,Support manufacturing operations and contribute to team objectives.,2,2025-11-16
666,Brand Management Intern,Infosys,Marketing,"Social Media, MS Office, Marketing",Chennai,12,4000,Any,Assist with research and development in marketing field.,7,2025-11-21
667,Healthcare Administration Intern,Asian Paints,Healthcare,"Problem Solving, MS Office, Communication",Rural,6,5000,Any,Assist with research and development in healthcare field.,4,2025-11-16
668,Brand Management Intern,Mahindra Group,Marketing,"Social Media, Communication",Lucknow,12,5000,Diploma,Contribute to innovative marketing solutions and processes.,2,2025-11-22
669,AI/ML Intern,Asian Paints,IT,"Excel, Communication, Data Analysis",Hyderabad,12,5000,Diploma,Learn industry best practices in it domain.,3,2025-11-23
670,Content Marketing Intern,Hero MotoCorp,Marketing,"Communication, MS Office",Delhi,6,5000,Diploma,Learn industry best practices in marketing domain.,6,2025-10-11
671,Learning Design Intern,Hindustan Unilever,Education,"Communication, Teaching",Bhopal,6,4000,Diploma,Support education operations and contribute to team objectives.,10,2025-11-12
672,Medical Research Intern,Dr. Reddy's Labs,Healthcare,"Communication, Problem Solving, Research, Biology",Chandigarh,12,5000,Undergraduate,Support healthcare operations and contribute to team objectives.,9,2025-11-04
673,Social Media Intern,Bajaj Finance,Marketing,"Social Media, Marketing",Chennai,12,5000,Undergraduate,Support marketing operations and contribute to team objectives.,8,2025-10-25
674,AI/ML Intern,Mahindra Group,IT,"Excel, Python, Problem Solving, Data Analysis",Hyderabad,6,5000,Diploma,Assist with research and development in it field.,10,2025-10-23
675,Supply Chain Intern,Larsen & Toubro,Manufacturing,"Excel, Problem Solving",Ahmedabad,12,4000,Diploma,Assist with research and development in manufacturing field.,9,2025-11-01
676,Student Support Intern,Nestle India,Education,"Leadership, English",Ahmedabad,12,5000,Diploma,Support education operations and contribute to team objectives.,4,2025-10-21
677,Administrative Intern,Hindustan Unilever,Government,"MS Office, Research, Communication, English",Bangalore,12,5000,Any,Contribute to innovative government solutions and processes.,4,2025-10-21
678,Healthcare Administration Intern,Sun Pharma,Healthcare,"MS Office, Research",Ahmedabad,6,5000,Any,Work on real-world healthcare projects and gain hands-on experience.,9,2025-11-24
679,Teaching Assistant,HDFC Bank,Education,"Teaching, Leadership, English, MS Office",Mumbai,12,5000,High School,Work on real-world education projects and gain hands-on experience.,8,2025-10-17
680,Financial Analysis Intern,Bharti Airtel,Finance,"Finance, Excel, Data Analysis",Rural,6,5000,High School,Contribute to innovative finance solutions and processes.,2,2025-11-25
681,Production Intern,Tata Consultancy Services,Manufacturing,"Team Work, Excel",Rural,12,4000,Any,Support manufacturing operations and contribute to team objectives.,8,2025-10-28
682,Process Engineering Intern,Eicher Motors,Manufacturing,"Team Work, Problem Solving",Jaipur,12,5000,Undergraduate,Contribute to innovative manufacturing solutions and processes.,1,2025-10-16
683,Software Development Intern,Nestle India,IT,"Excel, Data Analysis",Mumbai,12,4000,Any,Support it operations and contribute to team objectives.,9,2025-10-09
684,Financial Analysis Intern,Nestle India,Finance,"Data Analysis, Communication",Bangalore,12,4000,Undergraduate,Learn industry best practices in finance domain.,9,2025-10-23
685,Agri-tech Intern,Godrej Consumer,Agriculture,"Field Work, Agriculture, Local Language",Mumbai,12,5000,Undergraduate,Learn industry best practices in agriculture domain.,8,2025-10-13
686,Production Intern,Infosys,Manufacturing,"Problem Solving, Excel, Project Management",Bangalore,12,5000,Any,Contribute to innovative manufacturing solutions and processes.,5,2025-10-30
687,Student Support Intern,Bharti Airtel,Education,"Communication, MS Office",Pune,6,5000,High School,Learn industry best practices in education domain.,5,2025-12-06
688,Public Service Intern,Maruti Suzuki,Government,"Research, Leadership, English",Rural,12,5000,Diploma,Learn industry best practices in government domain.,3,2025-10-18
